r1,r2,r3,r4,x,y,timestamp
-96.12005452711125,-27.97320760526044,-8.642198859730513,-62.63591815333015,53.303056148825554,65.4306321534056,2024-01-01 00:00:00
-81.32274717688706,-31.27169955868723,-47.4639518180502,-66.70879037685967,13.789882173033396,8.003256976593665,2024-01-01 00:01:00
-16.875419491005744,-90.42458013366424,-27.508972816391562,-82.38460874971399,59.12429057506141,24.2329811453739,2024-01-01 00:02:00
-23.323164366166424,-7.742759509419997,-56.39517020274122,-39.273332989851205,31.478562371695794,77.36793464792507,2024-01-01 00:03:00
-64.93573085428531,-43.15277978431804,-36.99654224575618,-52.33758394913711,5.234876680960243,52.86858536788197,2024-01-01 00:04:00
-62.318937222578754,-63.627447886431575,-65.94240625788814,-13.429900767599634,94.86561577065649,92.79690617870448,2024-01-01 00:05:00
-46.64455664464205,-24.346141650469335,-69.88409802145546,-96.78904195179418,64.14903690642878,42.87514083413543,2024-01-01 00:06:00
-99.97589953148655,-74.2634541598366,-42.17702138304863,-35.61320724448737,87.6918931870847,86.98123658139231,2024-01-01 00:07:00
-75.87556639619721,-30.649016295367957,-50.18703258160196,-23.70511214884388,67.60560050132531,44.89554374782375,2024-01-01 00:08:00
-79.17681913917855,-96.02887924277528,-42.04636308500189,-24.051343081169293,35.698369214011294,97.92482787019853,2024-01-01 00:09:00
-74.95170532502365,-16.059196239072804,-71.3339418712977,-11.392603290447482,51.268807232881144,95.98343813988768,2024-01-01 00:10:00
-19.409415746655867,-55.18291529786815,-63.304216818300475,-27.0966257170506,67.57467603471771,32.913670555608036,2024-01-01 00:11:00
-72.03261434535568,-36.33070856420583,-91.61020393710908,-7.218993835230364,96.02523252014376,88.59236704168032,2024-01-01 00:12:00
-80.84786779498518,-77.87621801933163,-94.77236277277943,-66.73434001791085,25.366945912169648,84.76113742156492,2024-01-01 00:13:00
-49.57365392069685,-32.2926287341552,-74.65428703269838,-49.67905832484569,87.49770586241176,21.068039732756283,2024-01-01 00:14:00
-13.43549636272681,-22.77597241067234,-92.57531406694542,-98.59203367171094,92.40778052942694,62.42904007832697,2024-01-01 00:15:00
-75.86502961625001,-52.678681311560126,-89.62252913652593,-99.30424126967088,67.04155146589565,7.268231558981486,2024-01-01 00:16:00
-92.14637572072013,-38.22730759382057,-18.70715946060629,-75.98733795484802,93.12666274013378,83.67107205834617,2024-01-01 00:17:00
-64.35952641503353,-54.36740761776014,-96.11263029833107,-89.91928028609148,39.78785874773685,17.454588350349653,2024-01-01 00:18:00
-25.234817543502217,-10.590863074215449,-34.10572060652572,-73.97886320642463,95.30161760404428,7.081470138576451,2024-01-01 00:19:00
-44.93094553052054,-50.21308194856808,-72.74422511845995,-82.29567054716026,70.27828771659749,40.021909553881116,2024-01-01 00:20:00
-18.320663042565258,-15.819129097118108,-12.845431929187356,-97.14799751613518,4.20057674188119,57.69221385996435,2024-01-01 00:21:00
-4.040785239076598,-19.864794172975138,-51.50077154225004,-9.069585359395063,90.68728318190527,85.4916958559771,2024-01-01 00:22:00
-20.733752324838292,-58.949517865164346,-69.44235406721742,-99.17768686111084,48.44728090331925,97.42425255217366,2024-01-01 00:23:00
-39.61969211562466,-76.99155081425249,-48.23610643105655,-26.39178556629146,46.032698477783285,43.949251256986365,2024-01-01 00:24:00
-50.66584119476195,-59.3917867440229,-61.80419809547312,-84.78521130804835,56.646660597963425,6.044692298527021,2024-01-01 00:25:00
-95.99309136517333,-17.378262422477988,-43.56989353301698,-8.777037800040006,14.938454677122792,74.91155790258706,2024-01-01 00:26:00
-1.5678021185958784,-77.23674641806076,-88.54671316736517,-10.720406041011415,46.916604856739866,56.51732562239374,2024-01-01 00:27:00
-61.651887742495745,-47.55636541422506,-0.30094971874488863,-34.60988536307427,83.11272167177457,44.789134484446315,2024-01-01 00:28:00
-84.77717860831332,-19.390325203925258,-57.44441223032825,-32.77658501993949,1.5482459137515336,30.926887879218967,2024-01-01 00:29:00
-33.32911446035432,-64.65225248716212,-65.17693602926313,-99.46608580303115,27.29171603243713,50.239852784353566,2024-01-01 00:30:00
-71.57117109045407,-35.779036299730265,-28.979015168373508,-1.5128433886397943,0.245458644384422,33.86796044570309,2024-01-01 00:31:00
-41.42217290689524,-75.43684259511855,-63.610059350466756,-12.21673964241856,41.571130914984835,75.70118677473603,2024-01-01 00:32:00
-41.32320921554088,-89.072055463184,-16.67256949712423,-10.4893774269908,72.83155104937347,54.38936964926411,2024-01-01 00:33:00
-55.427017909713086,-20.56157749071437,-54.57292756395747,-34.07554629491281,79.87718291146285,87.68477741541119,2024-01-01 00:34:00
-16.38813844549574,-90.10313765912932,-28.044158673456508,-65.52130713454635,94.51897611270066,54.35439146494421,2024-01-01 00:35:00
-73.5032938444557,-72.86186049204154,-89.25467835581135,-10.63513509095192,60.85046129707865,23.826241333993003,2024-01-01 00:36:00
-55.13674083822659,-14.489057800255992,-15.388081444488819,-70.84830718488077,25.462686665289546,85.10918822321445,2024-01-01 00:37:00
-46.23078714090285,-65.35307129213328,-26.42820132218901,-43.728845665779716,92.4147949136699,55.721904493004395,2024-01-01 00:38:00
-33.63752792327004,-2.695465048583884,-78.82832215380343,-90.02690276561177,77.53157538803761,20.684103814356124,2024-01-01 00:39:00
-21.602814949441054,-2.026566522614033,-85.47139902542133,-7.80443698672498,57.44284830031445,62.350780995622216,2024-01-01 00:40:00
-60.519271712174394,-73.17239795464434,-68.37076512743756,-85.92295422287867,69.56402157189359,35.771676494242755,2024-01-01 00:41:00
-35.3953055903404,-95.90217777501095,-2.3929413968095616,-77.51031942695927,92.43163550074291,84.44056122920658,2024-01-01 00:42:00
-84.93890469314809,-29.493671579462088,-74.31684254329414,-44.186584187178504,71.23940284729217,45.329973864654285,2024-01-01 00:43:00
-6.73518994575214,-54.901349735165624,-54.387279105336674,-23.59069997870185,36.8374507584734,72.64413581074167,2024-01-01 00:44:00
-61.694119357899645,-89.92471560404238,-96.99797742826637,-38.06486940637011,71.30282022890967,9.553620763623716,2024-01-01 00:45:00
-27.047857802356162,-29.24771810219572,-60.27724704337675,-76.78660871998439,4.027816273538787,39.60243463023462,2024-01-01 00:46:00
-97.96589181178223,-96.88250908880788,-42.867998456689726,-99.90569574725097,38.64155618305812,98.32414364723986,2024-01-01 00:47:00
-79.4812857095193,-12.98033095077578,-4.6875387492034974,-24.28494196925608,40.63230318455793,80.84602894771483,2024-01-01 00:48:00
-51.2917455676422,-86.13474708866963,-48.32639550599356,-1.479267408890621,16.68382344208347,15.994080236692865,2024-01-01 00:49:00
-12.174753226765347,-87.2688121253275,-18.089267382231228,-19.008687969390962,2.3085480551770177,27.77640494772551,2024-01-01 00:50:00
-47.27448500493229,-82.43277020314154,-45.287235743109946,-53.97933818433847,13.338123663774281,32.981580885636106,2024-01-01 00:51:00
-7.012951770612091,-3.973364150793344,-95.9214986564482,-9.623273860089341,65.46214957970551,65.03655604954457,2024-01-01 00:52:00
-51.62031034172037,-30.683063974615393,-68.4991724810226,-59.015232688165,80.22888163636875,75.69947594896556,2024-01-01 00:53:00
-50.955090326405006,-19.862846453636323,-42.44504921688967,-47.506591575653246,98.82034927269741,74.95266088079097,2024-01-01 00:54:00
-88.02532114994682,-60.2365014267247,-4.940603406887561,-52.287023260431674,34.63635031084943,50.98740563064028,2024-01-01 00:55:00
-19.73437558477802,-66.36872724950445,-14.086964024876664,-55.237612733447506,59.937922226110175,81.08205378381513,2024-01-01 00:56:00
-75.30345875329375,-76.551599321683,-77.16443858211524,-22.48092307060942,93.71449668151219,43.7078082757475,2024-01-01 00:57:00
-10.038751062768497,-51.9351971687591,-77.98901699808366,-47.323109273050804,16.70417813381526,12.388056529556192,2024-01-01 00:58:00
-8.917577966960394,-44.81712664658315,-79.88270328860992,-68.3282877974784,71.76455863427427,56.44418416538133,2024-01-01 00:59:00
-5.668988812585027,-36.82251563472446,-7.750110369749692,-74.18418323415217,75.49787331491632,95.23013846011067,2024-01-01 01:00:00
-47.976951089691,-74.28814960013055,-14.733384689827929,-96.22526830325666,8.897553586933837,79.29936513925114,2024-01-01 01:01:00
-32.29062152163557,-5.13459190970093,-22.51165677470513,-41.6804838116954,86.12493851830651,57.870064769224236,2024-01-01 01:02:00
-22.148411993833648,-83.02415017928641,-60.72648857757724,-77.00385845989658,81.31050471108439,64.68056603490969,2024-01-01 01:03:00
-86.89853813495344,-3.4346825233587737,-49.56192957012332,-85.18660779836169,3.3403006577434446,93.05620270355726,2024-01-01 01:04:00
-39.90428050025028,-98.51438774924962,-53.56682552048472,-34.61700361723223,9.108441488005148,42.83427944349605,2024-01-01 01:05:00
-96.57020986966883,-51.88743081831544,-74.66018924406274,-31.879074217845115,4.912689389185232,33.13941389426374,2024-01-01 01:06:00
-50.24339166112741,-66.66321618834372,-49.497195385123305,-24.78451077423341,33.47435317993622,97.7241565000449,2024-01-01 01:07:00
-84.51573183797726,-55.08765860697492,-96.95034521472455,-49.642310366140855,50.92889906799262,86.34431335103334,2024-01-01 01:08:00
-81.70770740379153,-42.9335421019211,-86.81896265025408,-10.594539479611342,53.23477279546288,32.30435846186024,2024-01-01 01:09:00
-63.49524333073985,-56.441084198729094,-11.341040383105366,-6.3657246601772215,26.766675976944263,46.37805973609228,2024-01-01 01:10:00
-56.756283328349696,-58.5153149698405,-24.83202329685767,-19.26290602075106,91.15968865602741,41.5078129007799,2024-01-01 01:11:00
-37.682757546781275,-26.72765845866934,-57.713159094091296,-36.44065179918128,36.826278987191316,14.90956786714339,2024-01-01 01:12:00
-92.55715815614843,-31.412372491353537,-48.284963771612276,-69.62790464088113,4.555015596535251,95.7819323813259,2024-01-01 01:13:00
-49.63082387625553,-16.672871796415208,-63.000111404002254,-1.7055078379778763,30.022711154138637,40.43124312197588,2024-01-01 01:14:00
-81.73748697468989,-75.00410187605044,-25.922013283932756,-72.58638328080616,53.11094225441555,87.5329082637908,2024-01-01 01:15:00
-42.602482496825814,-39.047149024593644,-21.581282076792036,-79.7343078009569,40.822182258823204,18.93562276806651,2024-01-01 01:16:00
-36.25953877388165,-41.48052146071461,-23.67148097968409,-55.784588621341726,27.384251909925915,54.78708106372198,2024-01-01 01:17:00
-44.32907434471461,-63.026218912731125,-27.738827516555048,-94.31594292876116,13.132324976431741,2.396138512426982,2024-01-01 01:18:00
-26.170448952169238,-51.394245809731906,-79.54956613072042,-2.150553532820922,81.91645000962298,76.42204838423086,2024-01-01 01:19:00
-66.43907557590987,-68.62178566942713,-66.20300207595213,-41.15664435835752,99.61452421241918,58.09138982462784,2024-01-01 01:20:00
-23.489340836686907,-85.81556023830149,-53.01545650163251,-44.30479083358247,32.95421335238821,62.55895834697527,2024-01-01 01:21:00
-56.72329182918063,-78.61987893372671,-66.92070085723444,-34.42037201002802,38.162104417660395,5.172088255465345,2024-01-01 01:22:00
-51.58155016774032,-89.44863535987989,-24.505979984167098,-50.29763522227933,61.8037524676957,21.10383302086154,2024-01-01 01:23:00
-35.18978727389286,-31.693042480987586,-67.06464757500453,-96.79364829054585,71.84414747355413,7.433087235358016,2024-01-01 01:24:00
-98.1641616000776,-33.92726068908485,-86.17679132146628,-38.76887111596032,39.20295348035913,28.891431580381177,2024-01-01 01:25:00
-34.60057785797517,-4.939362842012713,-60.09595479516959,-28.38261230435694,90.49295169818153,62.7439007682151,2024-01-01 01:26:00
-38.141485092788464,-27.032158635275877,-2.0085567217619626,-58.32509393759469,56.00039892289183,56.618598431737524,2024-01-01 01:27:00
-69.01528832467201,-94.79541612438686,-77.41185870664242,-24.270442792880715,45.0390076405931,61.21498216133902,2024-01-01 01:28:00
-91.42057151005105,-11.575482607104576,-38.78413410567709,-77.29987006615794,64.66727531599051,54.92512713778943,2024-01-01 01:29:00
-90.90645500869589,-13.732483705427427,-56.70269501602937,-77.87234089338159,95.28038482491732,27.302879567585936,2024-01-01 01:30:00
-7.677625301477136,-55.667967922730135,-92.89754323506733,-83.8583012312426,79.45522944217055,24.450749734442525,2024-01-01 01:31:00
-31.072067877416288,-41.413694947207844,-51.212339400194054,-62.80052402108382,4.001313053512434,13.705968353658127,2024-01-01 01:32:00
-87.28973862292597,-2.3921667527481105,-29.783567135168752,-15.29879646109164,33.230991073995966,84.90708749034921,2024-01-01 01:33:00
-64.32768306910936,-46.76956361518337,-48.678002417218124,-17.20879378509356,47.05446849512227,61.64793585412445,2024-01-01 01:34:00
